TBx,TBy,TBz,TDx,TDy,TDz,TTx,TTy,TTz,ULx,ULy,ULz,LLx,LLy,LLz,JWx,JWy,JWz,vTTx,vTTy,vTTz,vTDx,vTDy,vTDz,vTBx,vTBy,vTBz,vULx,vULy,vULz,vLLx,vLLy,vLLz,vJWx,vJWy,vJWz
-37.60795434,-52.59710431,1.281575903,-36.9345898,-60.09670441,7.677215027,-35.93040179,-72.0206074,16.72767556,-40.01331638,-68.26534781,37.73984297,-38.22659362,-84.89206737,34.26578756,-35.07188937,-97.2916904,25.28408894,-6.172038661,-11.48814406,19.38641894,-2.699548969,4.353369433,40.12607472,-7.133273423,15.67961274,53.59847143,0.234210487,-0.396226341,-2.866425157,2.290147881,-5.484552639,-5.622718513,0.298955904,-8.040308371,-5.726009422
-37.63648744,-52.53438586,1.495969789,-36.945388,-60.07929093,7.837719325,-35.95508994,-72.06655998,16.80522123,-40.01237954,-68.26693271,37.72837727,-38.21743303,-84.91400559,34.24329669,-35.07069355,-97.32385164,25.2611849,-5.647204286,-10.97944728,20.36841738,-2.351648214,3.216496789,41.15571294,-8.016061071,15.19628139,57.20750095,-0.098353301,-0.491876569,-3.872735034,3.329516206,-5.634653703,-6.27465749,-0.208374919,-7.511760514,-6.041736481
-37.66855168,-52.47360074,1.724799793,-36.95479459,-60.06642494,8.002342177,-35.97767876,-72.11047777,16.8866949,-40.01277295,-68.26890022,37.71288633,-38.20411496,-84.9365442,34.21819806,-35.07152705,-97.35389868,25.23701795,-4.908731939,-10.97977827,21.28816605,-1.979541267,1.512611146,42.13770654,-8.729669511,14.45832976,60.18160251,-0.327285517,-0.585123975,-4.630108197,4.264475104,-6.166570493,-6.783881064,-0.569189631,-6.990426175,-6.321253017
-37.70347036,-52.41576742,1.965526203,-36.96271276,-60.0603745,8.170893003,-35.99731369,-72.15439688,16.97184756,-40.01408209,-68.27124071,37.6943659,-38.18705706,-84.96121048,34.19106253,-35.07380381,-97.38186038,25.21173294,-4.122286837,-11.65873306,22.06219963,-1.696382897,-0.65713071,43.08585337,-9.175094997,13.51335726,62.3109365,-0.341268525,-0.712391993,-5.017186705,4.929072886,-6.957957903,-7.111538018,-0.778378893,-6.620027905,-6.524724675
-37.74017074,-52.36171399,2.214769949,-36.96949829,-60.06300302,8.343236417,-36.01380284,-72.20103182,17.06009636,-40.01544717,-68.27409028,37.67429715,-38.16734077,-84.98904231,34.16261638,-35.07691732,-97.4083405,25.18563404,-3.441992782,-13.05153877,22.60127456,-1.600575522,-3.102666779,43.96274891,-9.302545921,12.44026474,63.47287035,-0.070249729,-0.891310429,-4.966451999,5.181277027,-7.876270592,-7.249393118,-0.833085486,-6.51519598,-6.606742731
-37.77738092,-52.31195293,2.46866143,-36.97590059,-60.07541369,8.519087412,-36.02757081,-72.25323797,17.15050146,-40.01572817,-68.27765552,37.65443134,-38.14661566,-85.0205474,34.13361881,-35.08024966,-97.43440128,25.15920707,-2.972184238,-15.05252825,22.81222781,-1.73394929,-5.575954429,44.68601705,-9.123097132,11.32255131,63.64741094,0.491270477,-1.10545106,-4.483225971,4.93417113,-8.802207652,-7.204903433,-0.731199574,-6.735362047,-6.519852616
-37.81387331,-52.26666272,2.723251074,-36.98283639,-60.09771751,8.697831481,-36.03945954,-72.31344808,17.24175037,-40.01376309,-68.28207733,37.63649844,-38.12687898,-85.05575623,34.10479919,-35.08317446,-97.46134273,25.13312766,-2.744113932,-17.43910278,22.60375007,-2.058416553,-7.81215429,45.14746316,-8.706436448,10.22471625,62.91073915,1.276302224,-1.304630811,-3.651812903,4.18201888,-9.646073349,-6.992711111,-0.475857438,-7.267997045,-6.226031718
-37.84869906,-52.22576386,2.97489403,-36.99107005,-60.12896612,8.878421333,-36.050436,-72.38320449,17.33216537,-40.00865788,-68.28729585,37.62189119,-38.1101509,-85.09434052,34.07682835,-35.08507789,-97.49041472,25.10822354,-2.715216059,-19.92005555,21.90109143,-2.460229626,-9.576918929,45.23769936,-8.165838938,9.178290413,61.40838788,2.155026187,-1.42134031,-2.624255913,3.012375662,-10.35391432,-6.635936863,-0.082806278,-8.025339347,-5.712588935
-37.88136241,-52.1890507,3.220527582,-37.00091097,-60.1672738,9.059372131,-36.06129686,-72.46288472,17.41976974,-40.00003777,-68.29298121,37.61139416,-38.0981014,-85.13575618,34.0502846,-35.08540912,-97.52251607,25.08537318,-2.791288709,-22.19579338,20.66953603,-2.781511375,-10.71276582,44.86767801,-7.634323116,8.180278616,59.31629616,2.960217007,-1.396520412,-1.591570809,1.597565372,-10.9023029,-6.172265325,0.413672375,-8.857375794,-5.004589253
-37.9118997,-52.15632958,3.457792767,-37.01203702,-60.21012486,9.238842843,-36.07246202,-72.55166789,17.50244788,-39.9881969,-68.29856729,37.60502788,-38.09171114,-85.17936539,34.02559554,-35.08375443,-97.55794558,25.06535482,-2.863772159,-24.01567799,18.93898085,-2.869592702,-11.17417762,43.98161983,-7.23714574,7.203013144,56.80199858,3.523245358,-1.203760794,-0.742359108,0.164778573,-11.2839362,-5.6557174,0.959194373,-9.581325045,-4.166181594
-37.94084829,-52.12751753,3.685000761,-37.02351539,-60.25482157,9.414769322,-36.08391711,-72.6477306,17.57820381,-39.97410392,-68.30338234,37.60205845,-38.09105202,-85.22450113,34.00297267,-35.07991765,-97.59627088,25.0486901,-2.848389265,-25.21982804,16.81733158,-2.62842048,-11.04029224,42.56116249,-7.065736289,6.211466224,53.99767193,3.713127526,-0.862084938,-0.218074652,-1.048524331,-11.48976407,-5.147486485,1.482587673,-10.02348426,-3.287908767
-37.96911123,-52.10267167,3.900991449,-37.03402907,-60.29898274,9.585013972,-36.09531066,-72.74860991,17.64547313,-39.95925141,-68.30683068,37.60118615,-38.09524612,-85.27046019,33.98238272,-35.0739873,-97.63636481,25.03553846,-2.710826748,-25.758078,14.48252512,-2.05471353,-10.4982001,40.62475182,-7.157666215,5.18228454,50.99167086,3.469818191,-0.432925312,-0.076852671,-1.841938499,-11.49544636,-4.696412619,1.903058211,-10.06375578,-2.46325923
-37.9977419,-52.08194253,4.104958132,-37.04224792,-60.34097554,9.747512979,-36.10615397,-72.85164223,17.70340323,-39.94537214,-68.30856238,37.60087874,-38.10261387,-85.31644198,33.96359707,-35.06637507,-97.67661984,25.02568542,-2.470790822,-25.68527844,12.15138342,-1.245629333,-9.798511118,38.2268244,-7.486707307,4.118403221,47.83771058,2.823071758,-0.003560334,-0.277496691,-2.089730627,-11.25907021,-4.316970669,2.140073978,-9.669190325,-1.762104783
-38.02768873,-52.06546891,4.296308974,-37.04723044,-60.38016959,9.900420277,-36.11603714,-72.95438334,17.75200877,-39.93407985,-68.30857662,37.59976875,-38.1109728,-85.36147826,33.94632919,-35.05781477,-97.7152966,25.01863701,-2.185345076,-25.13767905,10.0336622,-0.373892117,-9.194489671,35.45836513,-7.96606103,3.054312214,44.57435768,1.890442138,0.336094895,-0.690844156,-1.760626276,-10.73288407,-3.975651963,2.125399619,-8.903807166,-1.209747503
-38.05955297,-52.05325167,4.474606405,-37.04872601,-60.41694755,10.04225374,-36.12477852,-73.05493406,17.79214342,-39.92651808,-68.30723224,37.59700537,-38.1180153,-85.40440979,33.93042658,-35.04931317,-97.75091183,25.01379801,-1.921264931,-24.29841121,8.285989707,0.36219706,-8.882118994,32.44655159,-8.465663969,2.049873955,41.24477693,0.852846383,0.515460706,-1.13745264,-0.918165729,-9.885638155,-3.593734469,1.816701303,-7.909151077,-0.778535543
-38.09341563,-52.04505217,4.639585513,-37.04727722,-60.45247602,10.17203994,-36.13246358,-73.1521277,17.82528737,-39.9231067,-68.3051704,37.59245556,-38.12168796,-85.44395235,33.91605165,-35.04204637,-97.78254843,25.01068387,-1.729781826,-23.36065979,6.979910543,0.797224487,-8.958075231,29.34934219,-8.840904947,1.174405875,37.90852373,-0.087129481,0.498242194,-1.440848272,0.29463316,-8.726592931,-3.067530384,1.211077285,-6.86116222,-0.39554502
-38.12877925,-52.04035455,4.791219608,-37.04408832,-60.48830832,10.28943731,-36.1393827,-73.24557034,17.85320702,-39.92345522,-68.30317743,37.58669217,-38.12050943,-85.47885872,33.90378152,-35.03720206,-97.80999308,25.00910169,-1.633931276,-22.4953886,6.092184241,0.84609151,-9.406161173,26.34218151,-8.966152824,0.486309362,34.64205775,-0.752695273,0.288004318,-1.478757088,1.68044845,-7.320117602,-2.300069607,0.355440886,-5.918644976,0.034609131
-38.16464386,-52.03840931,4.929787839,-37.04070396,-60.52593297,10.39480604,-36.14591843,-73.33555189,17.87757575,-39.926466,-68.30202541,37.58077714,-38.11378764,-85.50813919,33.89458125,-35.03578029,-97.83366766,25.00924013,-1.630917661,-21.82750392,5.51780947,0.525619379,-10.1133801,23.59737303,-8.764086614,0.015434284,31.52986309,-1.031821537,-0.074910022,-1.214641726,3.017654172,-5.782447016,-1.234126517,-0.649967111,-5.181723238,0.597664926
-38.1997002,-52.03834757,5.055907291,-37.03860148,-60.56638649,10.48919553,-36.1524421,-73.42286191,17.89964699,-39.93059328,-68.30232505,37.57591857,-38.10171702,-85.53126898,33.88964474,-35.03838016,-97.85439455,25.01163079,-1.704052544,-21.42150738,5.100562044,-0.054622941,-10.90829904,21.25996586,-8.22252518,-0.245356984,28.65125052,-0.896128292,-0.522623939,-0.699320029,4.092016102,-4.25878995,0.123366344,-1.657957852,-4.673431962,1.338277222
-38.2325903,-52.039329,5.170512293,-37.03881997,-60.61001968,10.57423539,-36.15925831,-73.50854794,17.92004924,-39.9341778,-68.30441555,37.57312129,-38.08534896,-85.54830414,33.89013821,-35.04501199,-97.87308828,25.0169839,-1.835164126,-21.2761659,4.673257637,-0.726897865,-11.60918235,19.42569171,-7.394385953,-0.336322887,26.06821082,-0.395558284,-0.972283987,-0.044368,4.727864739,-2.88689668,1.692311907,-2.491959098,-4.346942358,2.240561373
-38.26216785,-52.04067429,5.274785137,-37.04172756,-60.65645641,10.65193816,-36.16659896,-73.5936526,17.93874227,-39.93576003,-68.30830468,37.57294382,-38.0664375,-85.55985172,33.89690745,-35.05497983,-97.89047605,25.02594614,-2.010358768,-21.32769954,4.099380179,-1.31303302,-12.06825957,18.12630523,-6.381972784,-0.316411116,23.81775712,0.366488496,-1.339800462,0.620070428,4.815807085,-1.75906463,3.328551783,-2.973927359,-4.110568127,3.228886708
-38.28769574,-52.04193994,5.370056165,-37.04697969,-60.70472945,10.72444338,-36.1746404,-73.6789634,17.95513979,-39.93429408,-68.31366388,37.5754241,-38.04717427,-85.56688798,33.91022166,-35.06687554,-97.90691832,25.03886169,-2.217643876,-21.46145394,3.307779523,-1.671035506,-12.20092905,17.32608265,-5.311594701,-0.244332771,21.90953268,1.266791609,-1.553805071,1.185455417,4.332624562,-0.895815916,4.850154902,-2.959408311,-3.857612686,4.190272849
